Author,Title,Edition/Printing,"# Copies",HB/PB,ISBN,Section,Year
"Kafka, Franz","Die Verwandlung",,2,PB,393095339,German,
"Kafka, Franz","Hunger Artist",,,HB,8090217117,,
"Kafka, Franz","Metamorphosis, In the Penal Colony, and Other Stories",,,PB,805210571,,
"Kafka, Franz",Trial,11,,PB,805209999,,
"Kafka, Franz & Bertolt Brecht & Heinrich Boll",Erzahlungen,7,3,PB,393099377,German,
"Kagan, Olga & Frank Miller","Lab Manual/Workbook with Readings for B nyth Russian Grammar in Context",8,,PB,133968545,Russian,2010F
"Kagan, Olga et al.","Russian Grammar in Context",,,PB,130282804,Russian,
"Kahrl, Christina & Steven Goldman","Baseball Prospectus 2009",,,PB,452290112,,2011S
"Kaiser, Daniel","Workers' Revolution in Russia 1917",1,4,PB,521349710,,
"Kaiser, Daniel H. & Gary Marker","Reinterpreting Russian History",6,,PB,195078586,,
"Kaiser, Susana","Postmemories of Terror",1,,PB,1403964656,,2012S
"Kaku, Michio","Beyond Einstein",10,,PB,385477813,,
"Kalish, Donald & Richard Montague & Gary Mar","Logic: Techniques of Formal Reasoning",2,3,HB,195155041,,
"Kamp, Kathryn","Life in the Pueblo: Understanding the Past through Archaeology",,29,PB,881339644,Anthropology,2010F
"Kandinsky, Wassily","Concerning the Spiritual in Art",,,PB,486234118,,
"Kant, Emmanuel","Prolegomena to Any Future Metaphysics",,,PB,521535352,,2011S
"Kant, Immanuel","Critique of Practical Reason",3,,PB,23077530,,
"Kant, Immanuel","Grounding for the Metaphysics of Morals",3,7,PB,87220166X,,
"Kant, Immanuel","Prolegomena to Any Future Metaphysics",,2,PB,915144255,,2012S
"Kant, Immanuel","Prolegomena to Any Future Metaphysics",6,2,PB,521535359,,2012S
"Kant, Immanuel","Prolegomena to Any Future Metaphysics",,7,PB,23193301,,2012S
"Kant, Immanuel","Prolegomena to Any Future Metaphysics",2,,PB,872205932,,2012S
Kaplan,"GRE Subject Test: Psychology 2009-2010 Edition",1,,PB,1419553066,Miscellaneous,
"Kaplan, Esther","With God on Their Side",2,,PB,159558031X,,
"Kapoor, Sanjeev","Microwave Desi Cooking",,,PB,8179973086,,
"Kapoor, Sanjeev","Rice, Biryani, and Pulao",,,PB,8179913611,,
"Kappeler, Andreas","Russian Empire",,4,PB,582234158,,
"Kapuscinski, Ryszard",Emperor,12,,PB,679722033,,
"Kardong, Kenneth","Vertebrates: Comparative Anatomy, Function, Evolution",5,,HB,73040585,Biology,2011S
"Kardong, Kenneth & Edward Zalisko","Comparative Vertebrate Anatomy",4,2,PB,72528311,Biology,2010F
"Kardong, Kenneth & Edward Zalisko","Comparative Vertebrate Anatomy",5,2,PB,72970081,Biology,2011S
"Kaspar, Anne S. & Susan J. Ferguson","Breast Cancer: Society Shapes an Epidemic",1,6,PB,312294514,,
"Kataev, Valentine","Time, Forward!",2,,PB,810112477,,
"Katz, Mark","Capturing Sound",3,4,PB,520243803,,2011S
"Katz, Stanley N. & John M. Murrin","Colonial America",3,,PB,75544121,,
"Katz, Stanley N. & John M. Murrin & Douglas Greenberg","Colonial America",5,3,PB,07231740X,,
"Katzer, Jeffrey & Kenneth H. Cook & Wayne W. Crouch","Evaluating Information",4,2,PB,70343098,,
"Katzman, Robert M.","Fighting Words: Saul Bellow, Kosher Pickles, and the Aluminum Fortress",1,,PB,975527983,,2011S
"Kaufmann, Walter","Goethe's Faust",46,2,PB,385031149,German,2010F
"Kavanaugh, Kieran & Otilio Rodriguez","Teresa of Avila: the Interior Castle",,8,PB,809122545,,
"Kawabata, Yasunari","Snow Country",,,PB,679761047,,
"Keating, AnaLouise","Gloria Anzaldua Reader",,2,PB,822345640,,2011S
"Keats, John","Complete Poems",3,,PB,140422102,,
"Kedia, Satish & John van Willigen","Applied Anthropology Domains of Application",3,,PB,275978426,Anthropology,2011S
"Keesing, Roger M.","Kwaio Religion",4,2,PB,23105341X,,
"Kehoe, Alice Beck",Humans,,4,PB,415919851,,
"Keillor, Garrison","Good Poems",11,,PB,142003441,,
"Keller, Gary D.","Zapata Lives!",,2,PB,939558122,,2011S
"Keller, Gerald","Statistics for Management and Economics",7,,HB,534491243,Crate,2010F
"Keller, William W. & Gordon R. Mitchell","Hitting First: Preventative Force in U.S. Security Strategy",1,2,PB,822959364,,
"Kelly, Delos H. & Edward J. Clarke","Deviant Behavior",6,2,PB,1572597496,Square,2010F
"Kelly, Joseph","Seagull Reader Poems",6,,PB,393976319,,
"Kelly, Thomas Forrest","First Nights at the Opera",1,,HB,300100442,Theater,
"Kelly, Thomas Forrest","First Nights: Five Musical Premieres",3,,PB,300091052,,
"Kendall, Laurel","Life and Hard Times of a Korean Shaman",6,2,PB,824811453,,
"Kendall, Laurel","Shamans, Housewives, and Other Restless Spirits",7,,PB,824811426,,2011S
"Kendall, Laurel","Shamans, Housewives, and Other Restless Spirits",1,,PB,824811429,,2012S
"Kendris, Christopher","501 French Verbs",4,,PB,812092813,French,
"Kendris, Christopher","501 Spanish Verbs",4,,PB,812092821,Spanish,
"Kendris, Christopher & Theodore Kendris","501 French Verbs",5,,PB,764124293,French,
"Kendris, Christopher & Theodore Kendris","501 Spanish Verbs",5,,PB,764124285,Spanish,
"Kenez, Peter","History of the Soviet Union from the Beginning to the End",1,2,PB,521311985,,
"Kennedy, X. J. & Dana Gioia","Introduction to Poetry",11,3,PB,321209397,,
"Kennedy, X. J. & Dana Gioia","Introduction to Poetry",13,,PB,205686125,,
"Kennedy, X.J. & Dana Gioia","Literature: An Introduction to Fiction, Poetry, and Drama",4,2,PB,,"Literature Anthology",
"Kenyon, Jane",Otherwise,3,,PB,1555972667,,
"Kenyon, Susan M.","Five Women of Sennar",2,2,PB,1577663136,,
"Keohane, Robert O.","After Hegemony",11,,PB,691022283,,
"Kerber, Linda K.","No Constitutional Right to be Ladies",,,HB,809073846,,
"Kerik, Bernard B.","The Lost Son: A Life in Pursuit of Justice",,,HB,60009012,,
"Kerouac, Jack","Dharma Bums",,,PB,140042520,,2011S
"Kessel, John H.","Presidents, the Presidency, and the Political Environment",1,3,PB,871877945,,2011S
"Kessler, Gary E.","Eastern Ways of Being Religious",3,3,PB,767412257,,
"Kessler, Gary E.","Studying Religion: an Introduction through Cases",3,2,PB,73386591,,2012S
"Kessler, Gary E.","Studying Religion: an Introduction through Cases",2,7,PB,72986190,,2010F
"Kessler, Herbert L.","Seeing Medieval Art",,,PB,1551115352,,
"Kessler, Suzanne J.","Lessons from the Intersexed",3,,PB,813525306,,
"Ketcham, Ralph","The Anti-Federalist Papers and the Constitutional Convention Debates",,,PB,9780451528841,,
"Kettl, Donald F.","System Under Stress",2,,PB,872893322,,2011S
"Kevles, Daniel J.","In the Name of Eugenics",4,,PB,674445570,,
"Keylor, William R.","Twentieth-Century World",4,,PB,195136810,,
"Khalidi, Rashid","Palestinian Identity",5,3,PB,231105150,,
"Khalidi, Tarif","Arabic Historical Thought in the Classical Period",1,,PB,52158938X,,2012S
"Khanga, Yelena","Soul to Soul",2,,PB,393311554,,
"Khlevniuk, Oleg V.","Master of the House: Stalin and his Inner Circle",,,HB,300110661,,
"Kida, Thomas","Don't Believe Everything You Think",1,,PB,1591024080,,
"Kidder, Tracy","Strength in What Remains",,,PB,812977615,,2012S
"Kierkegaard, Soren","Fear and Trembling, Repetition",7,,PB,691020264,,2012S
"Kierkegaard, Soren","Philosophical Fragments, Johannes Climacus",4,2,PB,691020361,,
"Kierner, Cynthia A.","Revolutionary America 1750-1815 Sources and Interpretation",4,,PB,130898678,,2012S
"Kimmel, Michael S. & Michael A. Messner","Men's Lives",6,9,PB,205379028,,
"Kimmel, Michael S. & Rebecca F. Plante","Sexualities: Identities, Behaviors, and Society",1,2,PB,195157605,,2012S
"Kincaid, Jamaica",Lucy,4,2,PB,374527350,,2011S
"Kincaid, Jamaica","Small Place",11,2,PB,374527075,,
"King, Kathleen","Cricket Sings",3,8,PB,821407058,Square,2010F
"King, Laura A.","Science of Psychology: An Appreciative View",2,,HB,73531885,Psychology,2011S
"King, Martin Luther Jr.","Testament of Hope",41,,PB,60646918,,2011S
"King, Nancy M.P. et al.","Social Medicine Reader Volume 1",2,,PB,822335689,,
"King, Richard","Orientalism and Religion",,,PB,415202582,,
"Kingdon, Robert M.","Adultury and Divorce in Calvin's Geneva",,,PB,67400521X,,
"Kingston, Maxine Hong","Woman Warrior",,2,PB,679721886,,2011S
"Kinnell, Galway","Book of Nightmares",15,,PB,395120985,,
"Kinney, Anne Behnke","Chinese Views of Childhood",1,2,HB,824816811,,
"Kinsbruner, Jay","Independence in Spanish America",2,3,PB,826321771,,
"Kirby, Carol Bingham","El Medico de su Honra (Pedro Calderon de la Barca)",1,,PB,1589770423,Spanish,
"Kirn, Walter","Mission to America",1,,PB,38550764X,,
"Kishlansky, Mark A.","Sources of the West Readings in Western Civilization Volume I: From the Beginning to 1715",4,2,PB,32107677X,History,
"Kissane, James","Mild Outbursts: Occasional Writings 1956-1995",,,PB,,,
"Kitayama, Shinobu & Hazel Rose Markus","Emotion and Culture: Empirical Studies of Mutual Influence",3,2,PB,1557984875,,
"Kitchen, Judith","House on Eccles Road",1,,PB,142003301,,
"Kivisto, Peter","Illuminating Social Life",2,2,PB,761987177,,
"Kivisto, Peter","Illuminating Social Life",3,8,PB,1412905591,,
"Kivisto, Peter","Illuminating Social Life",4,2,PB,1412952361,,
"Kivisto, Peter","Social Theory Roots and Branches",2,,PB,1891487965,,
"Kivisto, Peter","Social Theory Roots and Branches Readings",3,,PB,195332438,"Social Texts",
"Klass, Perri","Not Entirely Benign Procedure",,3,PB,452272580,,2010F
"Klein, Gerda Weissmann","All But My Life",24,,PB,809013606,,2011S
"Kleiner, Fred S.","Gardner's Art Through the Ages",13,,HB,495093076,,2012S
"Kleiner, Fred S.","History of Roman Art",2,,PB,534638465,,2011S
"Kleinman, Arthur & Veena Das & Margaret Lock","Social Suffering",6,,PB,520209954,,
"Kleinman, Sherryl","Opposing Ambitions",1,3,PB,226440052,,
"Kleist, Heinrich von","Marquise of O--and Other Stories",,,PB,140443592,,
"Klieman, Lowell & Stephen Lewis","Philosophy: an Introduction Through Literature",3,,PB,1557785392,,
"Klima, Ivan","Waiting for the Dark, Waiting for the Light",1,,PB,312140924,,
"Klinenberg, Eric","Heat Wave",3,2,PB,226443221,,
"Knight, Amy","Who Killed Kirov?",,5,PB,809097036,,
"Knisely, Karen","Student Handbook for Writing in Biology",2,,PB,716767090,Crate,2010F
"Knorre, Marty & Thalia Dorwick & Ana M. Perez-Girones & William R. Glass & Hildebrando Villareal","Puntos de Partida",8,4,HB,73534420,BOX,2011S
"Knorre, Marty & Thalia Dorwick & Ana Maria Perez-Girones & William R. Glass & Hildebrando Villarreal","Puntos de Partida",6,2,HB,72320710,Floor,2010F
"Knorre, Marty & Thalia Dorwick & Ana Maria Perez-Girones & William R. Glass & Hildebrando Villarreal","Puntos de Partida",7,11,HB,72873949,Floor,2010F
"Koberwitz, Edgar Kupfer","Ichia: Die Vergessene Insel",,,HB,,German,
"Koblinsky, Marge & Judith Timyan & Jill Gay","Health of Women",5,,PB,813316081,,
"Kofman, Sarah","Enigma of Woman",,,PB,801498988,,
"Kohn, Alfie","Case Against Standardized Testing",6,,PB,325003254,,
"Kolata, Gina",Flu,7,2,PB,743203984,,
"Kolbert, Elizabeth","Field Notes from a Catastrophe",8,,PB,1596911301,,2010F
"Kolmar, Wendy K. & Frances Bartkowski","Feminist Theory",3,2,PB,73512265,Crate,2010F
"Komar, Ingrid","Living the Dream: Twin Oaks Community 1979-1983",,,PB,,,
"Kopp, Wendy","One Day, All Children…",,3,PB,1586481797,,
"Kornblum, William & Joseph Julian","Social Problems",9,,HB,139586121,"Social Texts",
"Korten, David C.","When Corporations Rule the World",2,5,PB,1887208046,,
"Koshar, Rudy","Histories of Leisure",1,,PB,1859735258,,
"Koss-Chioino, Joan D. & Thomas Leatherman & Christine Greenway","Medical Pluralism in the Andes",1,,PB,415299209,,
"Kostka, Stefan & Dorothy Payne","Tonal Harmony",5,3,HB,72852607,Music,
"Kostka, Stefan & Dorothy Payne","Workbook for Tonal Harmony",5,,"PB w/CD",72852615,Music,
"Kotlowitz, Alex","There Are No Children Here",10,4,PB,385265565,,
"Kottak, Conrad Phillip","Anthropology: the Exploration of Human Diversity",9,,"PB w/CD",72426527,Anthropology,
"Kottak, Conrad Phillip","Assault on Paradise",3,7,PB,72901802,,2011S
"Kottak, Conrad Phillip","Assault on Paradise",4,7,PB,73530867,,2011S
"Kottak, Conrad Phillip","Mirror for Humanity",4,8,PB,72973285,,
"Kozol, Jonathan","Savage Inequalities",,3,PB,60974990,,
"Kraft, Kenneth","Inner Peace, World Peace",4,,PB,791409708,,
"Kraft, Leo","Compact Discs to Accompany a New Approach to Ear Training",2,2,"PB w/CD",393102785,Music,
"Kraft, Leo","New Approach to Ear Training",2,2,PB,393972178,Music,
"Krakauer, Jon","Under the Banner of Heaven",16,,PB,1400032806,,
"Krall, Hanna","Subtenant, To Outwit God",,4,PB,81011075X,Floor,2010F
"Kramer, Larry","Normal Heart",15,,PB,452257980,,
"Krantz, Dr. Grover S.","Bigfoot Sasquatch Evidence",2,,PB,888394470,,
"Krauskopf, Konrad B. & Arthur Beiser","Physical Universe",9,,PB,72284145,Physics/Geology,
"Krautheimer, Richard","Rome Profile of a City, 312-1308",,,PB,691049610,,2010F
"Kravitz, Leonard & Kerry M. Olitzky","Pirke Avot a Modern Commentary on Jewish Ethics",,3,PB,807404802,,
"Kraybill, Donald B and Carls Desportes Bowman","On the Backroad to Heaven",,3,PB,801870895,BOX,2011S
"Kraybill, Donald B. & Marc A. Olshan","Amish Struggle with Modernity",2,,PB,874516846,,
"Kraybill, Donald B. & Steven M. Nolt","Amish Enterprise: From Plows to Profits",2,,PB,801850630,,
"Kring, Ann M. & Gerald C. Davison & John M. Neale & Sheri L. Johnson","Abnormal Psychology",10,,HB,471692387,Psychology,
"Kripke, Saul A.","On Rules and Private Language",,,PB,674954017,,2011S
"Krugman, Paul","Age of Diminished Expectations",2,,PB,262610922,,
"Krugman, Paul","Age of Diminished Expectations",3,7,PB,262611341,,
"Kruse, Holly","Site and Sound",,,PB,820455520,,
"Kugel, James","On Being a Jew",1,3,PB,801859433,,2012S
"Kugel, James","On Being a Jew",,,HB,60649089,,
"Kuhn, Thomas S.","Structure of Scientific Revolutions",3,3,PB,226458083,,2011S
"Kump, Lee R. & James F. Kasting & Robert G. Crane","Earth System",1,2,PB,131773879,Physics/Geology,
"Kundera, Milan","Book of Laughter and Forgetting",12,,PB,60926082,Floor,2010F
"Kuppers, Petra","Community Performance: An Introduction",1,,PB,415392292,,
"Kuromiya, Hiroaki","Stalin: Profiles in Power",,,PB,582784796,,
"Kushnea, Tony",Homebody/Kabul,2,,PB,1559362399,Floor,2010F
"Kuznar, Lawrence A.",Awatimarka,1,,PB,155015281,,
"Kwoka, John E. Jr. & Lawrence J. White","Antitrust Revolution: Economics, Competition, and Policy",4,4,PB,195161181,,
"la Barre, Francois Poullain de","Three Cartesian Feminist Treatises",1,,PB,226676544,,
"Laban, Joanna","Balkan Blues: Writing out of Yugoslavia",2,3,PB,810113252,Floor,2010F
"Lacan, Jacques","Feminine Sexuality",13,,PB,393302113,,
"Lacey, Robert & Danny Danziger","Year 1000",9,,PB,316511579,,
"Lachmann, Richard","States and Power",,,PB,745645391,,2012S
"Ladd, Doug & Frank Oberle","Tallgrass Prairie Wildflowers",2,,PB,762737444,,
"Ladefoged, Peter","Vowels and Consonants",2,,PB,1405124591,,2012S
"Ladson-Billings, Gloria",Dreamkeepers,1,2,PB,787903388,,
"LaFleur, William R.","Liquid Life: Abortion and Buddhism in Japan",6,4,PB,691029652,,
"Laforet, Carmen",Nada,26,2,PB,195009428,,2010F
"Laird, Charlton","Webster's New World Thesaurus",5,,PB,743470710,"English Grammar/Words",
"Lakoff, George","Moral Politics: How Liberals and Conservatives Think",2,,PB,226467716,,2011S
"Lakoff, George & Mark Johnson","Metaphors We Live By",1,,PB,226468011,,
"Lally, Michael","It Takes One to Know One",,,PB,1574231561,,
"Lam, Willy Wo-Lap","Chinese Politics in the Hu Jintao Era: New Leaders, New Challenges",1,2,PB,765617749,,
"Lamb, Sarah","White Saris and Sweet Mangoes: Aging, Gender, and Body in North India",2,,PB,520220013,,
"Lamb, Wally","I Know This Much Is True",7,,PB,61097640,,2012S
"Lamphere, Louise & Helena Ragone & Patricia Zavella","Situated Lives: Gender and Culture in Everyday Life",,,PB,415918073,,
"Landsburg, Steven E.","Price Theory and Applications",5,,HB,324059795,,2011S
"Lansing, J. Stephen","Priests and Programmers",5,4,PB,69102863X,,
"Lareau, Annette","Unequal Childhoods",,2,PB,520239504,Square,2010F
Larousse,"Concise French-English Dictionary/English-French Dictionary",,,PB,2034205014,French,
Larousse,"Larousse's French-English English-French Dictionary",4,,PB,671534076,French,
Larousse,Passing,2,,PB,393979164,,
"Larsen, Nella","Complete Fiction of Nella Larsen",,3,PB,385721005,,2012S
"Larsen, Nella",Passing,2,2,PB,393979164,,2012S
"Larsen, Nella",Passing,,2,PB,142437271,,2012S
"Larsen, Nella",Quicksand,7,2,PB,141181273,BOX,2011S
"Larsen, Randy J. & David M. Buss","Personality Psychology: Domains of Knowledge about Human Nature",1,,HB,70366055,Psychology,
"Larsen, Richard J. & Morris L. Marx","Introduction to Mathematical Statistics and Its Applications",3,2,PB,130305626,Floor,2010F
"Larsen, Richard J. & Morris L. Marx","Introduction to Mathematical Statistics and its Applications",4,,PB,132018136,Floor,2010F
"Larson, D.M.","Modern Exodus",,,PB,971686203,,
"Las Casas, Bartolome de","An Account, Much Abbreviated, of the Destruction of the Indies",1,8,PB,872206254,,2012S
"Las Casas, Bartolome de","An Account, Much Abbreviated, of the Destruction of the Indies",,4,PB,140445625,,2012S
"Lassiter, Luke Eric","Invitation to Anthropology",2,4,PB,759109753,,2010F
"Lassiter, Luke Eric","Invitation to Anthropology",,,PB,759103100,,2010F
"Lassiter, Luke Eric","Invitation to Anthropology",3,2,PB,759111537,,2010F
"Lasswell, Harold D.","Propaganda Technique in World War I",,,PB,262620189,,2011S
"Lattimore, Richmond & David Grene","Aeschylus I",41,4,PB,226307786,,
"Lau, Frederick","Music in China",1,,PB,195301243,,
"Lauter, Paul et al.","Heath Anthology of American Literature Volume B Early Nineteenth Century 1800-1865",5,2,PB,618532986,"Literature Anthology",2011S
"Lavenda, Robert H. & Emily A. Schultz","Core Concepts in Cultural Anthropology",3,8,PB,73050458,"Anthropology, 1 in Square",2011S
"Lavenda, Robert H. & Emily A. Schultz","Core Concepts in Cultural Anthropology",2,4,PB,72818603,Square,2011S
"Lavenda, Robert H. & Emily A. Schultz","Core Concepts in Cultural Anthropology",4,3,PB,73530987,Anthropology,2012S
"Lawall, Gilbert & James F. Johnson & Cynthia King","Athenaze Workbook II",2,,PB,195149555,Greek,
"Lawrence, Jerome & Robert E. Lee","Inherit the Wind",3,,PB,345466276,,
"Lay, David C.","Instructor's Edition Linear Algebra and Its Applications",2,,HB,201648458,Floor,2011S
"Lay, David C.","Linear Algebra and Its Applications",3,5,PB,,Floor,2011S
"Lay, David C.","Study Guide for Linear Algebra and its Applications",3,5,PB,20177013X,Floor,2011S
"Lazzarino, Graziana & Maria Cristina Peccianti & Andrea Dini","Prego! An Invitation to Italian",7,,HB,73535265,Italian,2012S
"Lazzarino, Graziana & Maria Cristina Peccianti & Janice M. Aski & Andrea Dini","Prego! An Invitation to Italian",6,,HB,72561319,Italian,2010F
"Le Goff, Jacques","Your Money or Your Life",,,PB,942299159,,
"Le Roy, Michael K.","Comparative Politics",2,3,PB,534544894,,
"Le Vine, Victor T.","Politics in Francophone Africa",1,2,PB,1588265517,,
"Leach, Andrew R.","Molecular Modelling: Principles and Applications",2,,PB,582382106,Chemistry,
"Leder, Mary M.","My Life in Stalinist Russia",2,,PB,253214424,,
"Lee, Jeffrey A.","Scientific Endeavor",6,,PB,805345965,,
"Lee, M. Owen","Wagner's Ring",3,,PB,879101862,,
"Lee, Richard B.","Dobe Ju/'hoansi",3,10,PB,155063332,,2012S
"Lee, Richard B.","Dobe Ju/'hoansi",2,2,PB,30322847,,2012S
"Leffler, Melvyn P.","Preponderance of Power",1,4,PB,804722188,,2012S
"LeGuin, Ursula K.","Farthest Shore",11,,PB,689845340,,
"LeGuin, Ursula K.","Lao Tzu Tao Te Ching: a Book About the Way and the Power of the Way",1,,PB,1570623953,,
"Lehman, John W.","Multiscale Operational Organic Chemistry",,9,HB,130154954,Floor,2011F
"Lehner, Philip N.","Handbook of Ethological Methods",2,,PB,521637503,,
"Lehuu, Isabelle","Carnival on the Page",1,,PB,807848328,,
"Leibniz, G.W.","Discourse on Metaphysics and Other Essays",3,,PB,872201325,,
"Leibniz, G.W.","Philosophical Texts",9,,PB,198751532,,
"Lekson, Stephen H.","Chaco Meridian",,,PB,761991816,,
"Lemann, Nicholas","Big Test: Secret History of the American Meritocracy",,2,PB,374527512,,
"Lemann, Nicholas","Promised Land",10,,PB,679733477,,
"Lemons, Gary L.","Black Male Outsider Teaching as a Pro-Feminist Man",1,2,PB,791473023,,2011S
"Leonard, David K.","Africa's Stalled Development",1,,PB,1588261166,,
"Leopold, Aldo","Sand County Almanac",,,PB,195007770,,
"Lermontov, Mikhail","Hero of Our Time",,4,PB,140447958,Crate,2012S
"Lermontov, Mikhail","Hero of Our Time",7,,PB,140447954,,2012S
"Lerner, Gerda","Grimke Sisters from South Carolina",1,4,PB,195106032,,2010F
"Lessing, Gotthold Ephraim","Emilia Galotti",4,2,PB,3123521109,German,
"Lethem, Jonathan","Gun, With Occasional Music",3,,PB,156028972,,
"Letts, Rosa Maria","Cambridge Introduction to Art: Renaissance",5,,PB,521299578,,
"Levack, Brian P.","Witch-Hunt in Early Modern Europe",19,,PB,58208069X,,
"Levenson, Jon D.","Sinai and Zion: An Entry Into the Jewish Bible",16,2,PB,06254828X,,
"Levertov, Denise","Denise Levertov Poems 1960-1967",,,PB,811208591,,
"Levi, Primo","Survival in Auschwitz",22,2,PB,684826801,,2011S
"Levi, Primo","Survival in Auschwitz",7,,PB,20343108,,2011S
"Levin, Theodore & Valentina Suzukei","Where Rivers and Mountains Sing",1,,HB,253347157,,
"Levin, William","Sociological Ideas",4,,PB,534208568,,
"Levine, Judith","Harmful to Minors: Perils of Protecting Children from Sex",1,2,PB,1560255161,,2011S
"Levine, Lawrence W.","Black Culture and Black Consciousness",27,2,PB,195023749,,
"Levine, Lawrence W.","Highbrow Lowbrow",,,PB,674390776,,
"Levine, Philippa","British Empire Sunrise to Sunset",6,,PB,582472814,,2011S
"Levine, Robert M.","Father of the Poor? Vargas and His Era",1,,PB,521585287,,
"Levine, Robert M.","Father of the Poor? Vargas and His Era",,,HB,521585155,,
"Levithan, David & Daniel Ehrenhaft","21 Proms",2,,PB,439890292,,
"Levitt, Peggy & Mary C. Waters","Changing Face of Home",1,,HB,871545179,,
"Levy, Stuart B.","Antibiotic Paradox",2,3,PB,738204404,,
"Lewellen, Ted C.","Dependency and Development: An Introduction to the Third World",,3,PB,897894006,,
"Lewin, Roger","Human Evolution",5,8,PB,1405103787,Anthropology,2011S
"Lewis, Hunter","Question of Values",1,,PB,62505211,,
"Lewis, Ricki","Laboratory Manual to Accompany Life",1,,PB,697056376,Biology,
"Leyshon, Andrew & David Matless & George Revill","Place of Music",1,2,PB,157230314X,,
"Lightbown, Patsy M. & Nina Spada","How Languages are Learned",8,,PB,194370003,,
"Lightman, Alan","Einstein's Dreams",,,PB,446670111,,
"Lilla, Mark","Stillborn God Religion, Politics, and the Modern West",1,,PB,1400079131,,2011S
"Lim, Shirley Geok-Lin","Among the White Moon Faces",2,,PB,1558611797,,2011S
"Lincoln, Bruce","Holy Terrors: Thinking about Religion after September 11",2,6,PB,226482030,,
"Lindberg, Carter","European Reformations Source Book",,,PB,631213627,,
"Lippard, Lucy R.","Lure of the Local: Senses of Place in a Multicentered Society",2,2,PB,1565842480,,
"Lippi-Green, Rosina","English with an Accent",,,PB,415114772,,
"Lipsey, Richard G. & Paul N. Courant & Christopher T.S. Ragan",Economics,12,,HB,201347395,,2011S
"Little, Peter D.","Somalia: Economy without State",1,2,PB,253216486,,
"Litz, A. Walton","Major American Short Stories",3,,PB,195078993,,
"Liu, Eric","Accidental Asian",7,,PB,679448624,,
"Liu, Irene & Li Xiaoqi","New Text for a Modern China",,,PB,887273122,,
Livy,"Early History of Rome",6,,PB,140448098,Square,2010F
Livy,"Early History of Rome",16,,PB,140448092,,2010F
"Llosa, Mario Vargas",Storyteller,12,2,PB,140143491,,
"Lock, Margaret & Patricia A. Kaufert","Pragmatic Women and Body Politics",,,PB,521629292,,
"Locke, Alain","New Negro: Voices of the Harlem Renaissance",14,,PB,684838311,,2010F
"Locke, John","Essay Concerning Human Understanding",6,,PB,140434828,,
"Locke, John","Second Treatise of Government",17,3,PB,915144867,,
"Lockeretz, William","Visions of American Agriculture",1,,PB,813827094,,
"Lockman, Zachary","Contending Visions of the Middle East",,,PB,521629379,,2011S
"Lockman, Zachary","Contending Visions of the Middle East",2,,PB,521133074,,2011S
"Loftin, John D.","Religion and Hopi Life in the Twentieth Century",3,,PB,253208572,,
"Lois, Jennifer","Heroic Efforts: the Emotional Culture of Search and Rescue Volunteers",1,7,PB,814751849,,2012S
"Longenbach, James","Art of the Poetic Line",3,,PB,1555974886,,
"Longknife, Ann & K.D. Sullivan","Art of Styling Sentences",4,3,PB,764121812,"Reference, English Grammar/Words",2011S
"Lopez, Donald S.","Story of Buddhism",8,,PB,60099275,,2012S
"Lopez, Donald S. Jr.","Asian Religions in Practice",1,4,PB,691005133,,
"Lopez, Donald S. Jr.","Buddhism in Practice",1,,PB,691044414,,
"Lopez, Donald S. Jr.","Religions of Asia in Practice",1,,PB,691090610,,
"Lopez, Donald S. Jr.","Religions of China in Practice",1,6,PB,691021430,,2011S
"Lopez, Ian F. Haney","White By Law",1,,PB,814736947,,
"Lopez, Ian F. Haney","White By Law",6,,PB,814751377,,
"Lopez, Nancy","Hopeful Girls, Troubled Boys",2,7,PB,415930758,,
"Lopez-Arias, Julio & Gladys M. Varona-Lacey","Latin America",,,PB,820434795,,
"Lopez-Mayhew, Barbara","Valor, agravio y mujer",,,PB,9781589770638,Spanish,
"Lorber, Judith","Gender Inequality",4,4,PB,195375220,Crate,2010F
"Lorca, Federico Garcia","La Casa de Bernarda Alba",3,,PB,8470394126,Spanish,
"Lorca, Federico Garcia","Poeta en Nueva York",15,,PB,8437607252,Spanish,
"Lorca, Federico Garcia",Yerma,,,PB,8420633572,Spanish,
"Lord, Michael & Donald Debethizy & Jeffrey Wager","Innovation that Fits",1,2,HB,131438204,,
"Lorde, Audre","Cancer Journals",1,2,PB,1879960737,,
"Lorde, Audre","Cancer Journals",2,2,PB,1879960265,,
"Lorde, Audre","Sister Outsider",,,PB,895941414,,
"Lorde, Audre","Zami a New Spelling of My Name",,,PB,895941228,,2011S
"Lorence, James J.","Enduring Voices Document Sets to Accompany the Enduring Vision: a History of the American People Volume 2: From 1865",2,,PB,669298034,History,
"Lorentz, H.A. & A. Einstein & H. Minkowski & H. Weyl","Principle of Relativity",,,PB,486600815,,2011S
"Lotz, Wolfgang","Architecture in Italy 1500-1600",2,,PB,300064691,Floor,2010F
"Love, Nancy S.","Dogmas and Dreams",2,,PB,1566430437,,
"Lowe, Maria A.","Women of Steel",1,7,PB,81475094X,,
"Lowe, Rodney","Welfare State in Britain since 1945",3,,PB,1403911932,,
"Lubensky, Sophia & Gerard L. Ervin & Larry McLellan & Donald K. Jarvis","Nachalo Book One",2,4,HB,73655155,Floor,2010F
Lucretius,"On the Nature of the Universe",5,,PB,140446109,,2011S
Lucretius,"On the Nature of the Universe",2,3,PB,192817612,,
